,2023-01-29,2022-01-30,2021-01-31,2020-02-02,2019-02-03,2018-01-28,2017-01-29,2016-01-31,2015-02-01,2014-02-02,2013-02-03,2012-01-29,2011-01-30,2010-01-31
us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents,,,5230.0,-1312.0,797.0,-1814.0,-1862.0,-1757.0,-1271.0,-2203.0,931.0,-237.0,781.0,1131.0
us-gaap_CashAndCashEquivalentsAtCarryingValue,,,432162.0,338954.0,390136.0,213713.0,193647.0,222927.0,330121.0,424555.0,502757.0,628403.0,513943.0,148822.0
us-gaap_IncreaseDecreaseInPrepaidAdvertising,,,,,0.0,-1019.0,6448.0,5022.0,-386.0,3675.0,-2937.0,2559.0,,
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,0.0,-80528.0,,,,0.0,0.0,-25363.0,0.0,0.0
us-gaap_ProceedsFromIssuanceOfLongTermDebt,,,,,0.0,300000.0,,,,,,,,
us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,,,,,0.0,-1197.0,-359.0,-135.0,-760.0,-58.0,-405.0,-86.0,-1625.0,-35.0
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,,,,93208.0,-51182.0,176423.0,20066.0,-29280.0,-107194.0,-94434.0,-78202.0,-125646.0,114460.0,365121.0
wsm_TaxBenefitFromExerciseOfShareBasedAwards,,,,,0.0,,3230.0,14592.0,26952.0,8817.0,12725.0,8515.0,10450.0,714.0
us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,0.0,,-4894.0,-14494.0,-26560.0,-8743.0,-12683.0,-8021.0,-11239.0,
us-gaap_PaymentsOfDividends,,,,,-140325.0,-135010.0,-133539.0,-127636.0,-125758.0,-111581.0,-87847.0,-68877.0,-59160.0,-51132.0
us-gaap_ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,0.0,,4894.0,14494.0,26560.0,8743.0,12683.0,8021.0,11239.0,2131.0
us-gaap_ProceedsFromStockOptionsExercised,,,,,0.0,0.0,1532.0,2647.0,4077.0,6614.0,14637.0,9614.0,15736.0,11861.0
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperationsAbstract,,,,,,,,,,,,,,
us-gaap_NetIncomeLoss,,,,,,259545.0,305387.0,310068.0,308854.0,278902.0,256730.0,236931.0,200227.0,77442.0
us-gaap_IncreaseDecreaseInAccruedLiabilities,,,,,,9157.0,25876.0,-135.0,8867.0,43635.0,9147.0,-16030.0,19314.0,42084.0
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,499704.0,524709.0,544026.0,461697.0,453769.0,364127.0,,,
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperationsAbstract,,,,,,,,,,,,,,
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-269760.0,-196975.0,-202166.0,-188600.0,-190624.0,-206815.0,,,
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperationsAbstract,,,,,,,,,,,,,,
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,-51707.0,-305806.0,-369383.0,-379020.0,-355376.0,-236445.0,,,
us-gaap_InterestPaid,,,,,,2915.0,2202.0,1989.0,1269.0,1270.0,1651.0,1952.0,2381.0,3198.0
us-gaap_IncreaseDecreaseInRestrictedCash,,,,,,,,,14289.0,1766.0,-1323.0,-2220.0,-12512.0,0.0
us-gaap_ProceedsFromInsuranceSettlementInvestingActivities,,,,,,,,683.0,1644.0,1518.0,115.0,751.0,0.0,0.0
wsm_AmortizationLeaseIncentives,,,,,,,,,-24419.0,-25382.0,-26694.0,-27547.0,-37115.0,
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,2317.0,2040.0,-1139.0,2603.0
us-gaap_AssetImpairmentCharges,,,,,,,,,,,6071.0,840.0,5453.0,30533.0
wsm_IncreasesDecreasesInPrepaidAdvertising,,,,,,,,,,,-2937.0,2559.0,-4048.0,
us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,182.0,81.0,10823.0,1033.0
wsm_AmortizationOfLeaseIncentives,,,,,,,,,,,,-27547.0,-37115.0,-36799.0
wsm_IncreaseDecreaseInPrepaidAdvertising,,,,,,,,,,,,2559.0,-4048.0,3647.0
wsm_IncreaseDecreaseInDeferredRentAndLeaseIncentiveLiability,,,,,,,,,,,,7570.0,-2550.0,12403.0
wsm_TaxWithholdingPaymentRelatedToStockBasedCompensationAwardDistributions,,,,,,,,,,,,-11656.0,-17918.0,-3621.0
